22464554,5046055,1,0,0,0,12-09,垃圾中的战斗机  哦也
22464554,1134400971,4,0,0,0,12-06,感觉上海的好玩一些，上次在上海玩的有许多暗门，需要自己找很有意思，北京的，星空只有一个屋，许多人在等。总之还是不错的
22464554,4670873,4,0,0,0,12-05,在国瑞城的LG层，挨着乐天玛特不远，现在扫二维码就可以优惠购票，每人10元，听说到12.15就关了。里面东西不多，人可不少，基本每处拍照的地方都要等，拍出照片的效果很不错，视觉感很强。因为在地下，里面空气不太好，入口处可以存包，之前因为没看到，所以抱着一堆东西拍照特别不方便，出门才看到，所以以后去的朋友可以在进门处存好物品再玩，会尽兴些。停车的话13:00之前是六块，之后是10元。貌似，记不太清楚了，停车的地方可以扫码缴费，挺方便的。
22464554,1011190365,5,0,0,0,12-04,昨天是周六，我们三人去的，还真不好找，各种绕，周末扫码二十一位，平时好像是一百，我觉得一百的话就贵了，大概一小时左右出来的，很多也挺有意思的，有的看着没什么，拍照出来很有趣，有一处什么星空的在排长队，我就没去了，出来才发现门口有存衣服的柜子，抱着一大堆冬天的外套拍照好纠结，总体还不错
22464554,2059588,2,0,0,0,12-03  更新于16-12-03 16:02,乱，不推荐！热！快装修了，很一般！也就值十元的门票！
22464554,962167125,5,0,0,0,12-01,这周二去的，今天来整理照片，感觉还可以，出来点评下吧，
22464554,1451121,4,0,0,0,12-01  更新于16-12-01 10:50,瞳艺3d错觉艺术馆经常路过看到的一家店，艺术馆位于国瑞城地下，一个过道内。如果不是常来这里，应该不会很容易找到。平时人非常少，很少看到有人进入体验。
22464554,52400501,4,0,0,0,12-01,赶上快要装修撤店了所以10元一张票去看的 觉得很值哈哈  里面虽然不是很大 但是创意趣味性挺强  快到圣诞节了还有很多北欧风格的圣诞小场景可以拍照 效果仿佛置身北欧  我最喜欢的是倾斜房子  这个应该模仿杰克逊太空漫步  很有感觉效果不错  星空屋因为排队人巨多 所以没看成  有点小遗憾  那个房间里面是最漂亮的了  小伙伴一定不要错过哦
22464554,2262376,2,0,0,0,11-30,据说要撤店搞优惠，平时10元，周末20元，宣传力度挺大，平时看票价写着100元，价格让人觉得很划算，所以好多人都慕名而去，估计要是以前能便宜点也就不会冷清了，周末去的，排大队，进到里面有空的场地，可能是撤掉了，好多是纸壳搭建的，有些创意还行，看很多人拍的不亦乐乎，不过人多了就不好拍了，姿势摆不好，怕后面的人等时间太长，有的场景离的很近的，有些互相影响。稍好玩点的就要排大队，年轻人居多，我对照这种假景本来兴趣就一般，所以也不太喜欢，陪别人瞎玩玩去的。要是原价就太不值了。
22464554,41565970,4,0,0,0,11-27,周末二十门票进去的～可能我有点太挑剔了～感觉略失望～场景陈旧了些，光线也暗淡，拍照感觉有难度。不过场景很多，喜欢拍照的女孩子们和情侣们应该会玩的比较开心。无限星空的小屋子排队也排的太久了～没有宣传照里那么美。
22464554,4495050,2,0,0,0,11-26,因为装修门票从一百降到二十，平时据说是十块，但依然感觉不值，人超级多，每个档口几乎都是人，没法安心地去拍照合影，第二买票时才说要扫码关注，当初公众号却没注明，为购票增添了麻烦，最后也是最重要的，好多展品十分陈旧，远不如杜莎夫人，为了这降价勉强给两星，不值再去啊，看看装修如何
22464554,54647149,5,0,0,0,11-23,微信扫码平时10元，周末20元，这么便宜的价格导致人非常多，里面虽然不大，但是可拍的位置很多，在里面逛了1个多小时，人太多，有些景没有照上。这种艺术馆手机拍出来的效果比单反成相效果更好，虽然人比较多，但是拍出来的照片最后效果还不错。一个星空的房间，每次排队只能5个人进去看，可看性不大。
22464554,20517150,5,0,0,0,11-22,本来按顺序不该先写这里，但这个项目11月底就结束了，所以写出来供后来人参考一下吧，过了十一月再写没意义了。
