65875206,25565987,5,4,4,4,11-20,冲着这一副作品我也给了好评，赞。
65875206,830438850,5,4,4,4,10-13,赶上绘本展来的，小孩很喜欢，可惜没法好好观赏，要不肯定待一天。
65875206,30083825,5,4,4,2,08-31,八月的遇见全球最美插画展在北京的最后一场是在蓝港的央美术馆举办，约了三个小伙伴一起去看展览。听说门票88块我老公果断不去了哈哈哈。
65875206,3346891,3,2,4,2,07-27,展馆非常小，展品也不多。专业性比较强，对业内人士来说可以来学习一下技法、创意和概念，对大部分人来说会觉得比较看不懂……有些作品很精致，我都照下来了～有些我都get不到作者的想法……也许是为了更接近孩子眼中的世界也说不定，摊手～但有听到有小孩子说画的不好看……所以小朋友们也不是傻啊！挖鼻ing～另外玻璃反光很厉害，照相不容易啊。还有的画本身也不大却摆的很高，让我们怎么仔细看啊……88元的票价来说，展方还有待提高哦！
65875206,4088681,3,3,3,2,07-24,这个插画展不是给小孩看的么？画挂那么高 还得抱着看。太不合理了吧？抱着看了一半就受不了了，胳膊都酸了
65875206,774899424,5,4,4,4,07-17,没去，有机会去参观，应该不错的！！！！！
65875206,987349,5,4,4,3,07-17,来看插画展，正好有机构办插画展的课，孩子看展有人带着讲解，还有其他活动，还不错。美术馆不大，但异常干净，特别是卫生间，非常非常洁净。挺好的寓教于乐的地方。
65875206,290448,4,3,3,2,07-16,带孩子过来看博洛尼亚童书插画展的，之前每次来蓝色港湾都绕的晕乎乎，这次找这个央美术馆也找了半天。。。说是14号楼3层，其实标志性的地标是二层的一堆卖钻石的店，找到那堆钻石店，从侧面的楼梯上三层就是了。。。
65875206,6429658,4,4,4,1,06-25,插画都透着一种小清新。门票贵。
65875206,820957852,5,4,4,4,06-13,展览很不错的，下次还会再来哦！高端大气上档次哦
65875206,6661454,4,3,3,3,06-12,第一次来，不太容易找。来看插画展得，80还是88来着？门票太贵，性价比不高，作品有一部分有凑数的嫌弃，有一部分还是不错的，整体环境很好。两个人逛足够买一本书他们的插画作品集了。不过有孩子的还是适合来看看的。
65875206,32645401,3,4,3,3,06-09,位置还是很好找的，这个美术馆在三层，今天特意和好友约着来看博洛尼亚插画展，但是在后山的时候只能微信支付以及刷卡，不接受现金这点不太方便。展览有百余副作品，今天很多家长带着孩子来得特别多。很多作品都很喜欢，用相机拍下来留作纪念，这个展览我看得特别认真，真的是一次视觉的冲击，很不错，物有所值。
65875206,51204187,5,3,4,2,06-01,从蓝港西门找了一大圈，问同楼下的服务员居然都不知道。其实它的大门就在蓝港西门往南大概50米，在sese婚纱的旁边。里面有自己专用的电梯。这次是看意大利博洛尼亚儿童插画展，上午去的时候分三档，50儿童票，160家庭票，88成人票。当时工作人员说两个成人也可以购买家庭票，有些已经网上购票的观众排着长长的队，似乎是还要进行什么繁杂的登记工作，大家都颇有微词。等吃了个饭回来再看时，家庭票已经被贴纸遮住了，问工作人员怎么没有了？对方很坦然的说:对呀。没有给出任何有说服力的解释。购票方式是扫二维付款，不收现金，个人觉得对于有些不用网络的人士来讲，不太方便。
65875206,3263416,4,0,0,0,04-19,一次偶然的机会发现这个央美术馆展厅。
