6691766,49767491,5,4,4,4,12-05,受朋友之邀前来参观，第一次参观航空航天博物馆，倍感兴奋呐。
6691766,751983828,5,4,4,4,12-03,非常适合带孩子去，免费的，记得带身份证或驾照
6691766,2150849,3,2,1,0,12-03,约了很久约上了。里面不大两层，到是有很多飞机小朋友还是很喜欢的，知识性有点强太小的小朋友理解不了。这里很体现中国特色就是所有可以互动的体验品一律不开！有我就是不让你动！！！全是调试中！最刺激的是有个志愿者把触摸体验设备上升到素质这个高度！学没白上！两岁的孩子摸了没来的体验品就是素质问题了。这位同学你了太认真了！一没上去踩二没有围挡不让摸，你的体验品不开动一下就有问题了？有个孩子踩上去了他去制止我认同。但是两岁孩子摸摸怎么了？这个不就是科普的吗？不就是体验的吗？我们没有拉开你的围挡让孩子就去蹦怎么就谈到素质了？如果碰都不行你就跟一层的飞机一样设立围挡，把那几个管子围起来。要不就立个牌子不让摸！我们也是认字的就不摸了。过来跟指着“请勿踩踏”的标志说不让摸，不知道你是手脚不分还是觉得我不认识字？如此科普？如果问的只为了领导来才打开体验设备不去都收起来放几张照片，那个摸不坏，坏了再打印几张还便宜呢！
6691766,1118954625,5,4,4,4,10-29,大显神威！非常漂亮的博物馆。尤其是晚上来，灯光全开，视觉效果非常棒！适合带孩子一起来，开拓孩子思维！了解很多航空航天知识！😜😜😜
6691766,63335203,3,3,2,2,10-25,航空航天博物馆位置就在学院路37号北京航空航天大学校内(近北航东南门)，都是航空航天飞行器展览，适合北航人适合航空航天爱好者。
6691766,848052411,4,3,3,3,10-08,小型的飞机及内部构造，火箭，卫星的模型及介绍，周六十点有学校学生的义务讲解，网站预约取票，很方便。
6691766,947087,5,4,4,3,10-08,展厅比较紧凑，但展品挺丰富，人也不多，逛起来不累。提前预约，持身份证免费参观。
6691766,2202392,4,3,4,4,09-23,实物展品不多，但都是精华呀。黑寡妇全球就这一架完整的了。北京一号，全球就一架，北航制造的，就飞了一次。环境不错，科普教育的好地方。
6691766,953673044,5,4,4,4,08-19,展品很多.环境很好.人也很多.喜欢这里
6691766,60681650,5,4,4,4,08-09,这个博物馆在北京航空航天大学校内，虽然不大，但展品很全面，对于一二年级的小朋友参观有些不太明白，不过孩子参观起来还是很开心的，里面有些关于录像孩子还是很喜欢看的，商品厅的模型很不错价格也蛮贵的，对于爱好航天航空收藏的爱好者来说是个不错的地方
6691766,6356674,5,4,4,4,07-31,赞我大北航的博物馆，比原来在校期间那会露天的时候强多了，条件更好、展品也更加丰富，最著名的黑寡妇还在，很好的亲子游场所。校外人员可在网上预约免费参观，在校学生或老校友可以拿学生证参观。北航东门进去不远就是，停车也方便。
6691766,2888669,5,4,4,4,07-22,小时候去过几次 上次去还是带着弟弟去 这次是带着儿子去的 真的真的很不错 防空洞里面特别凉快 就是有的地方灯光有些灰暗 人不少 还会再去的
6691766,637812,4,3,3,3,07-05,陪同北航校友参观，时间赶得急，路上发现当天并不对校外开放，路上赶紧联系校方，现场登记证件，由校方人员陪同进入。北航的这个航空航天博物馆初衷是服务于学校内部教学的，这个博物馆已经是二次重建后的，从北航东大门驶入不远就到。博物馆内陈设看上去很质朴，没有太多装饰的氛围，进门主要展示的是航空航天发展史，视觉冲击较强的是几台涡喷发动机，下到大厅，挑高的空间，用于展示一些实物飞机，又看到当初放在室外的那架黑寡妇了。对航空航天科普作为一个了解历史发展，值得来参观学习，毕竟国内对于航空航天科普的窗口少之又少。
6691766,7712354,5,2,4,1,06-23,展品很多都旧的不行，缺乏维护保养。缺乏比较准确的指示牌，要不是去的多，容易蒙圈。外面停车场不知道是些什么人在收停车费，破停车场以前都是不要钱的。总之感觉不好。
6691766,6052174,4,3,3,2,05-08,就在北航院内，很早前来过，当时还是随便进的。貌似12年北航校庆时重新装修过，焕然一新。分楼上楼下两部分。楼下一进门有学生上课的地方，里面还是原来的机库，包括黑寡妇，鹞式垂坠起降等。二楼现实介绍飞机发展史，然后式航天部分，有中国自己的宇航服等展品，还是不错的。
